Player,Value
James Harden,43.24
Anthony Davis,43.24
Rudy Gobert,32.51
Damian Lillard,31.85
LaMarcus Aldridge,31.75
DeMar DeRozan,30.67
Kemba Walker,29.27
Jusuf Nurkic,27.68
Blake Griffin,27.21
Andre Drummond,26.76
Julius Randle,26.67
De'Aaron Fox,26.59
Jrue Holiday,26.38
Mike Conley,26.33
Donovan Mitchell,25.75
Tobias Harris,25.67
Montrezl Harrell,25.29
Danilo Gallinari,24.20
Marc Gasol,23.60
Al Horford,23.17
D'Angelo Russell,23.01
Lou Williams,22.99
Willie Cauley-Stein,22.69
Nikola Mirotic,22.18
C.J. McCollum,22.16
Bogdan Bogdanovic,20.66
Buddy Hield,20.57
Terry Rozier,20.12
Derrick Favors,20.05
Derrick White,19.98
Jayson Tatum,19.28
Jarrett Allen,19.25
Marvin Bagley III,19.24
Joe Ingles,18.65
Spencer Dinwiddie,17.96
Jaren Jackson Jr.,17.46
Jeremy Lamb,17.46
Al-Farouq Aminu,17.31
Jaylen Brown,16.79
Elfrid Payton,16.78
Bryn Forbes,16.76
Marcus Morris,16.65
Gordon Hayward,16.59
Royce O'Neale,15.97
Marvin Williams,15.26
JaMychal Green,15.02
Danuel House,14.44
Joe Harris,14.23
Nicolas Batum,14.21
Reggie Bullock,14.11
Reggie Jackson,14.02
Austin Rivers,13.78
Nemanja Bjelica,13.71
Jae Crowder,13.51
E'Twaun Moore,13.35
Jakob Poeltl,13.18
Patrick Beverley,13.10
Davis Bertans,12.97
Patty Mills,12.96
Shelvin Mack,12.87
Rodions Kurucs,12.48
Ed Davis,12.24
Shai Gilgeous-Alexander,12.21
Gerald Green,12.21
P.J. Tucker,12.00
DeMarre Carroll,11.94
Rondae Hollis-Jefferson,11.35
Pau Gasol,11.33
Malik Monk,11.11
Evan Turner,11.06
Iman Shumpert,11.02
Avery Bradley,11.01
Bismack Biyombo,10.96
Willy Hernangomez,10.94
Garrett Temple,10.82
Harry Giles,10.79
Brad Wanamaker,10.76
Justin Holiday,10.56
Kyle Korver,10.51
Nene Hilario,10.39
Moe Harkless,10.17
Marquese Chriss,9.96
Michael Kidd-Gilchrist,9.72
Daniel Theis,9.59
Ish Smith,9.49
Marcin Gortat,9.43
Omri Casspi,8.99
Tony Parker,8.79
Bruce Brown,8.78
Luke Kennard,8.76
Justin Jackson,8.32
Zaza Pachulia,8.25
Meyers Leonard,8.20
Zach Collins,8.14
Shabazz Napier,7.86
Joakim Noah,7.67
Miles Bridges,7.44
Seth Curry,7.33
Ty Wallace,7.03
Stanley Johnson,6.84
Darius Miller,6.72
Dante Cunningham,6.69
Jake Layman,6.36
Treveon Graham,6.25
Robert Williams,6.18
James Ennis,6.16
Semi Ojeleye,5.89
Grayson Allen,5.74
Kenneth Faried,5.64
Quincy Pondexter,5.16
Frank Jackson,5.09
Langston Galloway,4.93
Devonte' Graham,4.79
Tim Frazier,4.78
Gary Clark,4.58
Mike Scott,4.46
Jevon Carter,3.97
Yogi Ferrell,3.06
Georges Niang,2.58
Drew Eubanks,2.45
Guerschon Yabusele,2.25
Brandon Knight,2.12
Sindarius Thornwell,1.23
